Field Name,Data Type,Field Size,Required,Unique,Auto Increment,Default Value,Description
OrderID,AutoNumber,0,Yes,Yes,Yes,,Primary key for orders
CustomerID,Number,0,Yes,No,No,,Foreign key to Customer_Info table
OrderDate,DateTime,0,Yes,No,No,NOW(),Date and time when order was placed
TotalAmount,Currency,0,Yes,No,No,0.00,Total amount of the order
OrderStatus,Text,20,Yes,No,No,New,Status of the order (New, Processing, Completed, Cancelled)
ImprintType,Text,20,Yes,No,No,,Type of imprint for this order
PaymentStatus,Text,20,Yes,No,No,Pending,Status of payment (Pending, Paid, Refunded)
ShippingMethod,Text,50,No,No,No,,Shipping method selected
TrackingNumber,Text,50,No,No,No,,Shipping tracking number
EstimatedDelivery,DateTime,0,No,No,No,,Estimated delivery date
Notes,Text,1000,No,No,No,,Customer notes or special instructions
InternalNotes,Text,1000,No,No,No,,Internal notes for staff